シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,派生元ーアクティビティ・アウトプット・アウトカムの番号,派生元ー種別（アクティビティ・アウトプット・アウトカム）,派生元ーアウトカムの期間,派生元ーアクティビティの内容/ 活動目標／成果目標,派生元ー活動指標／成果指標,派生先ーアクティビティ・アウトプット・アウトカムの番号,派生先ー種別（アクティビティ・アウトプット・アウトカム）,派生先ーアウトカムの期間,派生先ー 活動目標／成果目標,派生先ー活動指標／成果指標,後続アウトカムへのつながり,アウトカムを複数段階で設定できない理由
レビューシート,2025,1319,女性の人権の保護・促進のための国際協力推進に係る経費（令和７年度までの予算事業名は「国連人権条約体対日理解促進プログラム関連経費」）,17,外務省,外務省,総合外交政策局,,人権人道課,女性参画推進室,,,1,アウトプット,,招へい者の対日理解促進を行うことで、将来的な対日審査を円滑に進める。,日本に対する好意的な発言･対応。,1,アウトカム,長期,招へいを通じた対日理解促進,日本に対する好意的な発言・対応,,
レビューシート,2025,1937,ドクターヘリの導入促進（統合補助金分）,20,厚生労働省,厚生労働省,医政局,,地域医療計画課,救急・周産期医療等対策室,,,101,アクティビティ,,ドクターヘリを導入した都道府県、又は都道府県の要請を受けてドクターヘリを導入した救命救急センターに対して、運行経費等の財政支援を行う。,,201,アウトプット,,ドクターヘリを導入した都道府県、又は都道府県の要請を受けてドクターヘリを導入した救命救急センターに対して、運行経費等の財政支援を行う。,ドクターヘリの導入機数,,
レビューシート,2025,1937,ドクターヘリの導入促進（統合補助金分）,20,厚生労働省,厚生労働省,医政局,,地域医療計画課,救急・周産期医療等対策室,,,201,アウトプット,,ドクターヘリを導入した都道府県、又は都道府県の要請を受けてドクターヘリを導入した救命救急センターに対して、運行経費等の財政支援を行う。,ドクターヘリの導入機数,501,アウトカム,長期,ドクターヘリによる搬送件数を前年度以上とする,ドクターヘリによる搬送件数,ドクターヘリによる搬送件数を成果目標とすることにより、救急医療体制の整備が図られたかどうかの評価が可能なため。,ドクターヘリによる搬送件数を成果目標とすることにより、救急医療体制の整備が図られたかどうかの評価が可能なため。
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,1,アクティビティ,,ポスト５Ｇ情報通信システムの開発を民間企業・研究機関・大学等に、先端半導体設計・製造技術の開発を民間企業・研究機関・大学等に委託・補助する。,,2,アウトプット,,研究開発事業の採択件数,本事業の採択件数,,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,2,アウトプット,,研究開発事業の採択件数,本事業の採択件数,3,アウトカム,短期,有識者の意見に基づき開発テーマごとに設定した目標を達成したテーマの割合の一定水準の達成,開発テーマごとに設定した目標を達成したテーマ数／当該時点までに研究開発を完了したテーマ数（先導研究は除く）,研究開発の実施により、成果として開発テーマごとに設定した技術的な目標を達成する。,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,3,アウトカム,短期,有識者の意見に基づき開発テーマごとに設定した目標を達成したテーマの割合の一定水準の達成,開発テーマごとに設定した目標を達成したテーマ数／当該時点までに研究開発を完了したテーマ数（先導研究は除く）,4,アウトカム,長期,本事業で開発した技術の実用化率：50%以上（各採択テーマ終了後概ね3年時点）,開発した技術が実用化に至ったテーマ数／先導研究以外の採択テーマ数,研究開発の実施により、成果として開発テーマごとに設定した技術的な目標を達成する。基金の終期まで引き続き達成状況を確認。,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,5,アクティビティ,,ポスト５Ｇ情報通信システムの開発を民間企業・研究機関・大学等に、先端半導体設計・製造技術の開発を民間企業・研究機関・大学等に委託・補助する。（令和6年度補正）,,6,アウトプット,,研究開発事業の採択実施,本事業の採択件数（調査事業を除く）,,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,6,アウトプット,,研究開発事業の採択実施,本事業の採択件数（調査事業を除く）,7,アウトカム,短期,有識者の意見に基づき開発テーマごとに設定した目標を達成したテーマの割合の一定水準の達成,開発テーマごとに設定した目標を達成したテーマ数／当該時点までに研究開発を完了したテーマ数（先導研究は除く）,研究開発の実施により、成果として開発テーマごとに設定した技術的な目標を達成する。,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,7,アウトカム,短期,有識者の意見に基づき開発テーマごとに設定した目標を達成したテーマの割合の一定水準の達成,開発テーマごとに設定した目標を達成したテーマ数／当該時点までに研究開発を完了したテーマ数（先導研究は除く）,4,アウトカム,長期,本事業で開発した技術の実用化率：50%以上（各採択テーマ終了後概ね3年時点）,開発した技術が実用化に至ったテーマ数／先導研究以外の採択テーマ数,研究開発の実施により、成果として開発テーマごとに設定した技術的な目標を達成する。基金の終期まで引き続き達成状況を確認。,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,8,アクティビティ,,ポスト５Ｇ情報通信システムの開発を民間企業・研究機関・大学等に、先端半導体設計・製造技術の開発を民間企業・研究機関・大学等に委託・補助する。（令和7年度当初）,,9,アウトプット,,研究開発事業の採択実施,本事業の採択件数（調査事業を除く）,,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,9,アウトプット,,研究開発事業の採択実施,本事業の採択件数（調査事業を除く）,10,アウトカム,短期,有識者の意見に基づき開発テーマごとに設定した目標を達成したテーマの割合の一定水準の達成,開発テーマごとに設定した目標を達成したテーマ数／当該時点までに研究開発を完了したテーマ数（先導研究は除く）,研究開発の実施により、成果として開発テーマごとに設定した技術的な目標を達成する。,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,10,アウトカム,短期,有識者の意見に基づき開発テーマごとに設定した目標を達成したテーマの割合の一定水準の達成,開発テーマごとに設定した目標を達成したテーマ数／当該時点までに研究開発を完了したテーマ数（先導研究は除く）,4,アウトカム,長期,本事業で開発した技術の実用化率：50%以上（各採択テーマ終了後概ね3年時点）,開発した技術が実用化に至ったテーマ数／先導研究以外の採択テーマ数,研究開発の実施により、成果として開発テーマごとに設定した技術的な目標を達成する。基金の終期まで引き続き達成状況を確認。,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,11,アクティビティ,,ポスト５Ｇ情報通信システムの開発を民間企業・研究機関・大学等に、先端半導体設計・製造技術の開発を民間企業・研究機関・大学等に委託・補助する。（令和7年度補正）,,12,アウトプット,,研究開発事業の採択実施,本事業の採択件数（調査事業を除く）,,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,12,アウトプット,,研究開発事業の採択実施,本事業の採択件数（調査事業を除く）,13,アウトカム,短期,有識者の意見に基づき開発テーマごとに設定した目標を達成したテーマの割合の一定水準の達成,開発テーマごとに設定した目標を達成したテーマ数／当該時点までに研究開発を完了したテーマ数（先導研究は除く）,研究開発の実施により、成果として開発テーマごとに設定した技術的な目標を達成する。,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,13,アウトカム,短期,有識者の意見に基づき開発テーマごとに設定した目標を達成したテーマの割合の一定水準の達成,開発テーマごとに設定した目標を達成したテーマ数／当該時点までに研究開発を完了したテーマ数（先導研究は除く）,4,アウトカム,長期,本事業で開発した技術の実用化率：50%以上（各採択テーマ終了後概ね3年時点）,開発した技術が実用化に至ったテーマ数／先導研究以外の採択テーマ数,研究開発の実施により、成果として開発テーマごとに設定した技術的な目標を達成する。基金の終期まで引き続き達成状況を確認。,
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,101,アクティビティ,,"酒類業の新市場を開拓するような、酒類事業者による以下の意欲的な取組を支援する。
（1）商品の差別化による新たなニーズの獲得、（2）販売手法の多様化による新たなニーズの獲得、（3）ＩＣＴ技術を活用した、製造 ・流通の高度化・効率化",,201,アウトプット,,酒類事業者の経営改革、酒類業の構造転換を促す。,新市場開拓支援枠の採択件数,,
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,102,アクティビティ,,"酒類事業者に対して、以下の取組について補助を行うことにより支援する。
（1）日本産酒類の海外販路拡大や商品等の高付加価値化に関する取組、（2）酒蔵の観光化や地域における酒蔵ツーリズムプラン策定の取組",,202,アウトプット,,日本産酒類の輸出拡大を図るとともに、酒類業の健全な発達を促進する。,海外展開支援枠の採択件数,,
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,201,アウトプット,,酒類事業者の経営改革、酒類業の構造転換を促す。,新市場開拓支援枠の採択件数,301,アウトカム,短期,補助事業者が補助事業期間終了後に評価を行う「目標の達成度」について、ABCの3段階評価のうちA評価（評価できる）の割合を80％以上とする。,「目標の達成度」がA評価の事業の割合（A評価の事業数/交付決定事業数）×100,効果発現の初期段階として、酒類事業者の経営改革や酒類業界の構造転換に関し、補助事業者が設定した目標の達成度の認識を測ることが重要であることから、目標の達成度の割合を初期アウトカムとして設定した。,
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,202,アウトプット,,日本産酒類の輸出拡大を図るとともに、酒類業の健全な発達を促進する。,海外展開支援枠の採択件数,302,アウトカム,短期,補助事業者が補助金交付申請時に設定する事業KPIについて、補助事業実施年度末に達成した事業の割合を80％以上とする。（複数の事業KPIを設定している場合には、そのうち1つでも達成すれば成果とする。）,事業KPIを達成した事業の割合（事業KPIを達成した事業数/交付決定事業数）×100,効果発現の初期段階として、酒類事業者が補助金交付申請時に設定した事業KPIの達成度を測ることが重要であることから、事業KPIの達成度の割合を初期アウトカムとして設定した。,
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,301,アウトカム,短期,補助事業者が補助事業期間終了後に評価を行う「目標の達成度」について、ABCの3段階評価のうちA評価（評価できる）の割合を80％以上とする。,「目標の達成度」がA評価の事業の割合（A評価の事業数/交付決定事業数）×100,401,アウトカム,中期,補助事業に係る全補助事業者の売上累計額（事業実施年度から起算して３年間の各年度）が本事業執行額を上回る,年度ごとの補助事業に係る全補助事業者の売上累計額（令和6～8年度）,"補助事業の成果が発現されているかの確認方法として、本事業の執行額により増加した補助事業に係る売上を比較検証する方法が考えられ、中期的なアウトカムとして設定した。
目標値は事業実施年度の執行額が確定した後に記載する。",
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,302,アウトカム,短期,補助事業者が補助金交付申請時に設定する事業KPIについて、補助事業実施年度末に達成した事業の割合を80％以上とする。（複数の事業KPIを設定している場合には、そのうち1つでも達成すれば成果とする。）,事業KPIを達成した事業の割合（事業KPIを達成した事業数/交付決定事業数）×100,502,アウトカム,長期,交付申請時に設定する長期事業KPIについて、事業終了後５年後に達成した事業の割合を80％以上とする。,長期事業KPIを達成した事業の割合（長期事業KPIを達成した事業数/交付決定事業数）×100,"酒類事業者が補助金交付申請時に設定した、５年かけて達成する長期事業KPIの最終的な達成度を測ることが本事業の成果を検証するのに重要であることから、長期事業KPIの達成度の割合を長期アウトカムとして設定した。
なお、設定する長期事業KPIは以下のとおり。
（1）日本産酒類の海外販路拡大や商品等の高付加価値化に関する取組の場合には、輸出金額の増加率又は商品単価の増加率
（2）酒蔵の観光化や地域における酒蔵ツーリズムプラン策定の取組の場合には、観光客の増加率又は観光客単価の増加率",
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,401,アウトカム,中期,補助事業に係る全補助事業者の売上累計額（事業実施年度から起算して３年間の各年度）が本事業執行額を上回る,年度ごとの補助事業に係る全補助事業者の売上累計額（令和6～8年度）,501,アウトカム,長期,補助事業者のうち、事業終了後5年間で、売上総利益年率平均1.5％以上増を達成する事業者割合が50％を超えること。,売上総利益年率平均1.5％以上増を達成する補助事業者割合,補助事業により酒類事業者の経営状況の変化を捉えることが、酒類業の経営改革・構造転換を促すことを目的とした本事業の成果を検証するのに重要であることから、売上総利益の年率増加率平均を長期アウトカムとして設定した。,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,1,アクティビティ,,F-REI及びその委託先が、放射線科学・創薬医療分野及び環境動態分野において、研究開発を行い、研究成果の創出等を行う。これらの活動を実施した成果の１つとして発表した学術論文の数が挙げられる。,,1,アウトプット,,発表した学術論文数の増加,発表した学術論文数,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,1,アウトプット,,発表した学術論文数の増加,発表した学術論文数,2,アウトカム,短期,福島復興再生特別措置法第百十五条に基づく主務大臣による毎年度の研究開発等業務の実績の評価において、標準以上の評価となることを目指す。,標準評価（Ｂ評価）以上の評価を受けた項目の割合,毎年度実施する評価において、本事業における中期目標に基づく評価単位について、標準以上の評価を受けられるようにすることで、短期的にも効果的な成果を目指す。,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,2,アウトカム,短期,福島復興再生特別措置法第百十五条に基づく主務大臣による毎年度の研究開発等業務の実績の評価において、標準以上の評価となることを目指す。,標準評価（Ｂ評価）以上の評価を受けた項目の割合,3,アウトカム,長期,福島復興再生特別措置法第百十五条に基づく主務大臣による中期目標の期間の最後の事業年度の終了後に実施する研究開発等業務の実績の評価において、標準以上の評価となることを目指す。,標準評価（Ｂ評価）以上の評価を受けた項目の割合,中期目標の期間の最後の事業年度の終了後に実施する評価において、本事業における中期目標に基づく評価単位について、標準以上の評価を受けられるようにすることで、中長期的にも効果的な成果を目指す。,
